"numero_documento","objeto_documento","valor_contrato","lat_documento","long_documento","cidade","uf","user","dias_vigencia","ug","codigo_gestao"
"0015/2014","Execução de pavimentação asfáltica, blocos intertravados, meios-fios e drenagem pluvial no Setor Habitacional Sol Nascente - Trecho 1, em Ceilândia - DF.",41573080.96,-15.833818,-48.126468,NULL,NULL,788,373,"190101","1"
"0017/2014","Contratação de Serviços Especializados de Consultoria para a Elaboração de Levantamentos Preliminares; Levantamento Planialtimétrico Cadastral; Estudos Geológicos e Geotécnicos; Projetos Geométricos e Terraplenagem; Adequação de Projetos de Urbanismo; Projeto de Paisagismo; Projetos de Ciclovias, Projetos de Pavimentação, Projetos de Drenagem, Projetos de Readequação de Drenagem, Projetos de Sinalização, Estudos de Tráfego e Microssimulação Dinâmica, Projetos Executivos de Obras de Arte Especiais e Orçamento no Distrito Federal.",12433653.35,-15.792913,-47.886439,NULL,NULL,300,1195,"190101","1"
"0004/2015","Execução de pavimentação asfáltica, meios-fios, drenagem pluvial e execução de obras de artes especiais em Vicente Pires - RA-XXX - DF. - LOTE VI",30577361.03,-15.8084020463479,-48.0081832408905,NULL,NULL,772,16,"190101","1"
"0005/2015","Execução de pavimentação asfáltica, meios-fios, drenagem pluvial e execução de obras de artes especiais em Vicente Pires - RA-XXX - DF. - LOTE VII",37789006.47,-15.7903978455178,-48.0049645900726,NULL,NULL,772,153,"190101","1"
"0008/2015","Execução de pavimentação asfáltica, meios-fios, drenagem pluvial e execução de obras de artes especiais em Vicente Pires - Lote 01 - RA-XXX - DF",49333897.7,-15.8091479764461,-48.051546545166,NULL,NULL,41,64,"190101","1"
"0009/2015","Execução de pavimentação asfáltica, meios-fios, drenagem pluvial e execução de obras de artes especiais em Vicente Pires - Lote 02 - RA-XXX - DF",34063489.66,-15.8245466532559,-48.0445754528046,NULL,NULL,41,1159,"190101","1"
"0010/2015","Execução de pavimentação asfáltica, meios-fios, drenagem pluvial e execução de obras de artes especiais em Vicente Pires - Lote 03 - RA-XXX - DF.",31721176.5,-15.822771222478,-48.0318295955658,NULL,NULL,788,428,"190101","1"
"0010/2015","Execução de pavimentação asfáltica, meios-fios, drenagem pluvial e execução de obras de artes especiais em Vicente Pires - Lote 03 - RA-XXX - DF.",31721176.5,-15.822771222478,-48.0318295955658,NULL,NULL,41,428,"190101","1"
"0011/2015","Execução de pavimentação asfáltica e drenagem pluvial no Setor Habitacional Buritizinho, em Sobradinho II - DF",4041973.33,-15.637746,-47.826797,NULL,NULL,772,1104,"190101","1"
"0012/2015","Execução de drenagem pluvial no Setor Habitacional Buritizinho, em Sobradinho II - DF",4242725.76,-15.7398996957241,-47.8517441131592,NULL,NULL,772,1013,"190101","1"
